game_id,game_name,game_web,platform,wii,ps3,xbox360,critic_score,critic_score1,critic_score2,critic_score3,wii_score,ps3_score,xbox360_score,Check
625850,DreamWorks Kung Fu Panda 2,/xbox360/625850-dreamworks-kung-fu-panda-2,xbox360,1,1,1,50,39,31,50,39,31,50,1
625894,Renegade Ops,/xbox360/625894-renegade-ops,xbox360,0,1,1,81,81,80,,,80,81,1
625926,BurgerTime World Tour,/ps3/625926-burgertime-world-tour,ps3,1,1,0,50,50,,,,50,55,1
625928,Spider-Man: Edge of Time,/xbox360/625928-spider-man-edge-of-time,xbox360,1,1,1,57,57,62,58,62,58,57,1
625933,BloodRayne: Betrayal,/xbox360/625933-bloodrayne-betrayal,xbox360,0,1,1,68,68,69,,,69,68,1
626255,Rugby World Cup 2011,/xbox360/626255-rugby-world-cup-2011,xbox360,0,1,1,55,55,50,,,50,55,1
626268,Phineas and Ferb: Across the 2nd Dimension,/wii/626268-phineas-and-ferb-across-the-2nd-dimension,wii,1,1,0,76,76,63,,76,63,,1
626302,NBA Jam: On Fire Edition,/ps3/626302-nba-jam-on-fire-edition,ps3,0,1,0,,,,,,81,85,1
626515,Dragon's Dogma,/ps3/626515-dragons-dogma,ps3,0,1,0,78,78,75,,,78,75,1
626535,Gabrielle's Ghostly Groove: Monster Mix,/wii/626535-gabrielles-ghostly-groove-monster-mix,wii,1,0,0,44,44,,,44,,,1
626625,EyePet & Friends,/ps3/626625-eyepet-and-friends,ps3,0,1,0,65,65,,,,65,,1
626631,Dead Rising 2: Off the Record,/ps3/626631-dead-rising-2-off-the-record,ps3,0,1,0,72,72,72,,,72,72,1
626633,Super Street Fighter IV: Arcade Edition,/ps3/626633-super-street-fighter-iv-arcade-edition,ps3,0,1,0,80,80,78,,,80,78,1
627042,Wii Play: Motion,/wii/627042-wii-play-motion,wii,1,0,0,60,60,,,60,,,1
627044,PowerUp Heroes,/xbox360/627044-powerup-heroes,xbox360,0,0,1,61,61,,,,,61,1
627045,Mystery Case Files: The Malgrave Incident,/wii/627045-mystery-case-files-the-malgrave-incident,wii,1,0,0,65,65,,,65,,,1
627150,Xotic,/xbox360/627150-xotic,xbox360,0,0,1,52,52,,,,,52,1
627222,Backbreaker: Vengeance,/xbox360/627222-backbreaker-vengeance,xbox360,0,1,1,66,66,,,,,66,1
627224,Sonic Generations,/xbox360/627224-sonic-generations,xbox360,0,1,1,77,77,76,,,76,77,1
627288,NHL 12,/ps3/627288-nhl-12,ps3,0,1,0,,,,,,86,86,1
627416,Nin2-Jump,/xbox360/627416-nin2-jump,xbox360,0,0,1,67,67,,,,,67,1
627462,NBA 2K12,/xbox360/627462-nba-2k12,xbox360,1,1,1,90,90,90,,,90,90,1
627553,Sonic the Hedgehog 2,/ps3/627553-sonic-the-hedgehog-2,ps3,0,1,0,,82,,,,,82,1
627574,Mario & Sonic at the London 2012 Olympic Games,/wii/627574-mario-and-sonic-at-the-london-2012-olympic-games,wii,1,0,0,66,66,,,66,,,1
628015,Gatling Gears,/ps3/628015-gatling-gears,ps3,0,1,0,76,76,74,,,76,74,1
628029,Serious Sam Double D XXL,/xbox360/628029-serious-sam-double-d-xxl,xbox360,0,1,1,68,68,,,,,68,1
